Number,Short description,Change Environment,Opened by,Assigned to,Assignment group,Service,State,Risk,Priority,Urgency,Impact,Model,Created,Start Date,Closed
CR-2647,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Data,User C,User D,Group B,Service B,Canceled,Medium,P3,High,Low,Model C,2025-07-15 18:12:40,2025-07-15 19:12:40,2025-07-15 21:12:40
CR-2648,Failed Workflow - ID: 0000,Data,User C,User B,Group B,Service B,Resolved,Low,P1,Medium,High,Model A,2025-03-30 18:12:40,2025-03-30 19:12:40,2025-03-30 21:12:40
CR-2649,Security patch applied: Monitoring for any issues.,Hardware,User B,User A,Group B,Service A,In Progress,Low,P1,Low,Medium,Model B,2025-02-10 18:12:40,2025-02-10 20:12:40,
CR-2650,Service outage detected - No connection to database.,Facilities,User B,User B,Group A,Service C,Canceled,Medium,P3,Low,Medium,Model C,2023-11-26 18:12:40,2023-11-26 20:12:40,2023-11-26 21:12:40
CR-2651,Routine check: All systems operational - No issues detected.,Software,User B,User D,Group B,Service A,Canceled,Medium,P2,Low,High,Model B,2024-05-08 18:12:40,2024-05-08 20:12:40,2024-05-09 00:12:40
CR-2652,User login failed: Account locked due to excessive login attempts.,Software,User B,User D,Group A,Service A,Canceled,Low,P3,Low,Low,Model B,2025-09-10 18:12:40,2025-09-10 19:12:40,2025-09-10 23:12:40
CR-2653,Suspicious activity detected on account: User A.,Failure,User C,"",Group C,Service A,On Hold,High,P1,Medium,High,Model B,2025-03-16 18:12:40,,
CR-2654,Security patch applied: Monitoring for any issues.,SLA Breach,User C,User A,Group A,Service A,New,Medium,P3,Medium,Medium,Model A,2024-10-14 18:12:40,,
CR-2655,Performance report: Sluggish response times on application.,Network,User D,User A,Group B,Service B,In Progress,Low,P3,Medium,Medium,Model C,2025-07-21 18:12:40,2025-07-21 20:12:40,
CR-2656,Service unavailable due to maintenance,Failure,User B,User A,Group A,Service A,Resolved,Medium,P3,High,High,Model B,2025-04-19 18:12:40,2025-04-19 21:12:40,2025-04-20 01:12:40
CR-2657,Security alert: Unauthorized access attempt detected.,Hardware,User B,User B,Group A,Service C,In Progress,High,P1,Medium,Medium,Model B,2024-03-17 18:12:40,2024-03-17 19:12:40,
CR-2658,Critical alert: Database server overload detected.,Complaint,User A,User A,Group A,Service C,Canceled,High,P1,High,Medium,Model C,2025-01-10 18:12:40,2025-01-10 20:12:40,2025-01-10 23:12:40
CR-2659,User login failed: Account locked due to excessive login attempts.,Facilities,User A,User A,Group B,Service B,In Progress,Low,P2,High,High,Model C,2023-11-28 18:12:40,2023-11-28 20:12:40,
CR-2660,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Data,User B,User C,Group B,Service B,Canceled,Low,P2,Low,High,Model C,2024-11-29 18:12:40,2024-11-29 21:12:40,2024-11-30 00:12:40
CR-2661,Routine check: All systems operational - No issues detected.,Complaint,User C,User A,Group B,Service B,Canceled,Medium,P1,High,High,Model A,2024-10-04 18:12:40,2024-10-04 19:12:40,2024-10-04 21:12:40
CR-2662,Security patch applied: Monitoring for any issues.,Facilities,User D,"",Group C,Service A,In Progress,High,P2,High,Medium,Model A,2024-04-18 18:12:40,2024-04-18 19:12:40,
CR-2663,Service outage detected - No connection to database.,Facilities,User C,User C,Group B,Service C,Resolved,Low,P1,High,Medium,Model C,2024-07-11 18:12:40,2024-07-11 20:12:40,2024-07-11 21:12:40
CR-2664,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Network,User D,User B,Group B,Service B,Closed,High,P3,Medium,Low,Model A,2024-07-29 18:12:40,2024-07-29 21:12:40,2024-07-29 22:12:40
CR-2665,Service outage detected - No connection to database.,Software,User A,User D,Group B,Service A,On Hold,Medium,P2,Medium,Medium,Model C,2024-08-24 18:12:40,,
CR-2666,Security alert: Unauthorized access attempt detected.,Access,User B,User C,Group A,Service C,Resolved,Low,P2,Medium,High,Model B,2025-05-07 18:12:40,2025-05-07 21:12:40,2025-05-07 22:12:40
CR-2667,Routine check: All systems operational - No issues detected.,SLA Breach,User A,User B,Group C,Service B,Closed,Medium,P1,High,Medium,Model B,2025-10-03 18:12:40,2025-10-03 21:12:40,2025-10-04 00:12:40
CR-2668,Service unavailable due to maintenance,Failure,User C,User A,Group B,Service B,On Hold,High,P3,Medium,Medium,Model A,2024-09-26 18:12:40,,
CR-2669,Network issue: Unable to connect to external API.,Software,User D,User B,Group A,Service C,In Progress,Medium,P3,High,High,Model A,2025-09-30 18:12:40,2025-09-30 19:12:40,
CR-2670,User login failed: Account locked due to excessive login attempts.,Failure,User A,"",Group A,Service A,Resolved,Low,P1,Low,Medium,Model C,2024-08-29 18:12:40,2024-08-29 20:12:40,2024-08-29 21:12:40
CR-2671,Data breach notification sent to affected users.,Network,User C,User A,Group B,Service A,Closed,Medium,P2,High,High,Model C,2025-08-16 18:12:40,2025-08-16 20:12:40,2025-08-16 21:12:40
CR-2672,Service unavailable due to maintenance,Hardware,User D,User B,Group A,Service C,In Progress,Low,P1,Low,Low,Model B,2025-01-16 18:12:40,2025-01-16 19:12:40,
CR-2673,Security patch applied: Monitoring for any issues.,Facilities,User A,User B,Group A,Service C,Canceled,Low,P3,Low,Medium,Model A,2025-09-24 18:12:40,2025-09-24 19:12:40,2025-09-24 22:12:40
CR-2674,Suspicious activity detected on account: User A.,Access,User D,User A,Group B,Service B,In Progress,High,P2,High,High,Model B,2025-03-02 18:12:40,2025-03-02 19:12:40,
CR-2675,Security patch applied: Monitoring for any issues.,Software,User A,User B,Group C,Service B,Canceled,High,P3,Medium,Medium,Model B,2024-01-01 18:12:40,2024-01-01 20:12:40,2024-01-01 22:12:40
CR-2676,Suspicious activity detected on account: User A.,Complaint,User B,User A,Group B,Service A,New,Low,P3,Medium,Medium,Model B,2025-03-08 18:12:40,,
CR-2677,Security alert: Unauthorized access attempt detected.,Access,User A,"",Group A,Service B,On Hold,High,P1,High,Low,Model A,2024-11-04 18:12:40,,
CR-2678,Security alert: Unauthorized access attempt detected.,Data,User C,User C,Group B,Service B,In Progress,Medium,P3,Low,High,Model A,2025-06-14 18:12:40,2025-06-14 19:12:40,
CR-2679,Service outage detected - No connection to database.,Complaint,User D,"",Group B,Service C,Canceled,High,P2,Medium,Medium,Model B,2024-02-10 18:12:40,2024-02-10 20:12:40,2024-02-10 22:12:40
CR-2680,Failed Workflow - ID: 0000,Hardware,User A,User D,Group A,Service A,On Hold,Medium,P3,High,High,Model A,2025-09-22 18:12:40,,
CR-2681,Suspicious activity detected on account: User A.,Data,User D,User B,Group B,Service A,Resolved,High,P1,Medium,Low,Model B,2023-12-23 18:12:40,2023-12-23 21:12:40,2023-12-23 23:12:40
CR-2682,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Access,User A,User A,Group B,Service B,New,High,P3,Medium,Medium,Model A,2024-07-26 18:12:40,,
CR-2683,Security alert: Unauthorized access attempt detected.,Failure,User D,"",Group C,Service C,Canceled,High,P3,Low,Low,Model A,2025-11-11 18:12:40,2025-11-11 21:12:40,2025-11-12 00:12:40
CR-2684,Network issue: Unable to connect to external API.,Access,User D,"",Group C,Service A,On Hold,Low,P1,High,Medium,Model A,2024-12-09 18:12:40,,
CR-2685,Network issue: Unable to connect to external API.,Facilities,User D,User B,Group C,Service A,New,Medium,P3,Low,Low,Model A,2025-08-08 18:12:40,,
CR-2686,Network issue: Unable to connect to external API.,Network,User D,User A,Group C,Service B,Resolved,High,P3,Medium,High,Model B,2024-11-11 18:12:40,2024-11-11 20:12:40,2024-11-12 00:12:40
CR-2687,Routine check: All systems operational - No issues detected.,Facilities,User C,User A,Group C,Service C,In Progress,Low,P2,Low,High,Model B,2024-02-24 18:12:40,2024-02-24 21:12:40,
CR-2688,Service unavailable due to maintenance,SLA Breach,User B,User D,Group C,Service B,In Progress,High,P1,High,High,Model C,2025-01-07 18:12:40,2025-01-07 19:12:40,
CR-2689,Performance report: Sluggish response times on application.,Network,User A,User B,Group A,Service C,Closed,High,P2,High,Low,Model B,2024-06-09 18:12:40,2024-06-09 20:12:40,2024-06-09 22:12:40
CR-2690,Critical alert: Database server overload detected.,Software,User B,User D,Group B,Service A,Canceled,Low,P1,Medium,High,Model B,2024-12-07 18:12:40,2024-12-07 19:12:40,2024-12-07 20:12:40
CR-2691,Service outage detected - No connection to database.,Software,User B,User A,Group C,Service B,Canceled,High,P1,Medium,Medium,Model C,2024-05-15 18:12:40,2024-05-15 21:12:40,2024-05-15 23:12:40
CR-2692,Security alert: Unauthorized access attempt detected.,Complaint,User C,User C,Group A,Service C,Closed,Medium,P3,High,Medium,Model B,2024-10-01 18:12:40,2024-10-01 21:12:40,2024-10-01 22:12:40
CR-2693,Performance report: Sluggish response times on application.,SLA Breach,User D,User C,Group A,Service A,In Progress,High,P3,Low,Medium,Model B,2025-01-02 18:12:40,2025-01-02 19:12:40,
CR-2694,Performance report: Sluggish response times on application.,Software,User D,User B,Group B,Service B,On Hold,Medium,P1,High,Low,Model A,2024-04-16 18:12:40,,
CR-2695,Data breach notification sent to affected users.,Complaint,User D,User A,Group A,Service C,Closed,Medium,P1,Medium,High,Model A,2025-06-19 18:12:40,2025-06-19 19:12:40,2025-06-19 21:12:40
CR-2696,Network issue: Unable to connect to external API.,Access,User A,User A,Group A,Service A,In Progress,High,P2,Medium,Medium,Model C,2024-11-12 18:12:40,2024-11-12 21:12:40,
CR-2697,Data breach notification sent to affected users.,Complaint,User A,User C,Group C,Service C,Resolved,Low,P1,High,Low,Model C,2024-01-28 18:12:40,2024-01-28 21:12:40,2024-01-28 23:12:40
CR-2698,Data breach notification sent to affected users.,Network,User A,User C,Group B,Service C,New,Low,P3,High,Low,Model B,2025-08-12 18:12:40,,
CR-2699,Suspicious activity detected on account: User A.,Network,User A,User A,Group A,Service A,Closed,Medium,P3,Medium,Low,Model C,2024-04-16 18:12:40,2024-04-16 19:12:40,2024-04-16 21:12:40
CR-2700,Security alert: Unauthorized access attempt detected.,Facilities,User B,User D,Group B,Service C,On Hold,High,P3,Medium,Low,Model C,2024-01-10 18:12:40,,
CR-2701,Failed Workflow - ID: 0000,Network,User B,User B,Group B,Service A,Closed,Low,P2,High,High,Model A,2024-05-12 18:12:40,2024-05-12 21:12:40,2024-05-13 00:12:40
CR-2702,Security patch applied: Monitoring for any issues.,Facilities,User B,User C,Group C,Service B,In Progress,High,P2,Low,High,Model B,2024-05-03 18:12:40,2024-05-03 19:12:40,
CR-2703,Critical alert: Database server overload detected.,Access,User C,User B,Group A,Service A,In Progress,Medium,P1,Medium,Low,Model A,2025-09-30 18:12:40,2025-09-30 21:12:40,
CR-2704,Performance report: Sluggish response times on application.,Hardware,User D,"",Group C,Service A,On Hold,High,P1,Low,Medium,Model C,2025-02-12 18:12:40,,
CR-2705,Security alert: Unauthorized access attempt detected.,SLA Breach,User D,User B,Group C,Service B,On Hold,Low,P3,Low,Low,Model B,2024-01-27 18:12:40,,
CR-2706,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Software,User A,User C,Group C,Service C,New,High,P1,High,Low,Model A,2024-08-14 18:12:40,,
CR-2707,Routine check: All systems operational - No issues detected.,Facilities,User B,User C,Group C,Service B,Canceled,Low,P2,Low,Low,Model A,2025-04-23 18:12:40,2025-04-23 21:12:40,2025-04-24 01:12:40
CR-2708,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Access,User D,User C,Group C,Service A,Resolved,Medium,P3,High,High,Model B,2024-04-16 18:12:40,2024-04-16 19:12:40,2024-04-16 20:12:40
CR-2709,User login failed: Account locked due to excessive login attempts.,SLA Breach,User D,User C,Group C,Service A,Closed,High,P1,High,Low,Model C,2024-01-06 18:12:40,2024-01-06 20:12:40,2024-01-06 21:12:40
CR-2710,Service outage detected - No connection to database.,Access,User D,User A,Group A,Service A,New,Medium,P2,High,High,Model C,2025-06-17 18:12:40,,
CR-2711,User login failed: Account locked due to excessive login attempts.,Complaint,User A,User B,Group C,Service C,In Progress,High,P3,High,High,Model C,2025-03-25 18:12:40,2025-03-25 21:12:40,
CR-2712,User login failed: Account locked due to excessive login attempts.,Failure,User A,User D,Group C,Service A,On Hold,Low,P3,High,Medium,Model B,2024-05-03 18:12:40,,
CR-2713,Failed Workflow - ID: 0000,Access,User B,User B,Group B,Service B,Canceled,Medium,P1,Medium,Low,Model A,2024-11-24 18:12:40,2024-11-24 19:12:40,2024-11-24 22:12:40
CR-2714,Suspicious activity detected on account: User A.,Complaint,User D,"",Group C,Service B,In Progress,Low,P3,Medium,Low,Model C,2024-12-21 18:12:40,2024-12-21 20:12:40,
CR-2715,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Software,User A,User C,Group C,Service A,On Hold,High,P2,Low,Medium,Model A,2024-07-14 18:12:40,,
CR-2716,Security alert: Unauthorized access attempt detected.,Complaint,User D,"",Group C,Service B,New,High,P1,Medium,Low,Model B,2023-11-18 18:12:40,,
CR-2717,Suspicious activity detected on account: User A.,Software,User B,User C,Group A,Service B,New,High,P2,Medium,Low,Model C,2024-05-16 18:12:40,,
CR-2718,Routine check: All systems operational - No issues detected.,Network,User B,User A,Group C,Service B,Resolved,Medium,P3,Medium,Medium,Model B,2025-04-14 18:12:40,2025-04-14 21:12:40,2025-04-14 23:12:40
CR-2719,Performance report: Sluggish response times on application.,Access,User D,"",Group A,Service C,Resolved,Low,P3,High,Medium,Model B,2024-09-23 18:12:40,2024-09-23 20:12:40,2024-09-24 00:12:40
CR-2720,Suspicious activity detected on account: User A.,Complaint,User C,User A,Group B,Service B,In Progress,High,P1,Low,High,Model B,2024-08-04 18:12:40,2024-08-04 20:12:40,
CR-2721,Critical alert: Database server overload detected.,Network,User D,User A,Group B,Service A,Resolved,Low,P3,Low,Medium,Model A,2024-05-03 18:12:40,2024-05-03 19:12:40,2024-05-03 21:12:40
CR-2722,Critical alert: Database server overload detected.,Software,User D,User A,Group B,Service B,Closed,Medium,P2,High,Low,Model C,2023-12-16 18:12:40,2023-12-16 21:12:40,2023-12-16 22:12:40
CR-2723,Routine check: All systems operational - No issues detected.,Software,User C,User B,Group C,Service B,Canceled,Medium,P2,Medium,Low,Model A,2024-02-06 18:12:40,2024-02-06 19:12:40,2024-02-06 22:12:40
CR-2724,Service unavailable due to maintenance,Failure,User C,User B,Group A,Service C,Canceled,Low,P3,High,Low,Model C,2023-11-25 18:12:40,2023-11-25 21:12:40,2023-11-25 22:12:40
CR-2725,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Failure,User C,User A,Group B,Service B,On Hold,Medium,P2,High,Medium,Model B,2025-02-16 18:12:40,,
CR-2726,Network issue: Unable to connect to external API.,Software,User D,User A,Group A,Service C,New,High,P1,High,Medium,Model B,2024-01-02 18:12:40,,
CR-2727,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Failure,User A,User A,Group B,Service C,Canceled,Low,P1,Low,Medium,Model A,2025-11-06 18:12:40,2025-11-06 19:12:40,2025-11-06 22:12:40
CR-2728,Security alert: Unauthorized access attempt detected.,Access,User C,User D,Group C,Service A,New,Medium,P1,Medium,Medium,Model B,2025-01-14 18:12:40,,
CR-2729,Security patch applied: Monitoring for any issues.,Hardware,User D,"",Group C,Service B,On Hold,High,P3,High,Medium,Model B,2024-01-05 18:12:40,,
CR-2730,Suspicious activity detected on account: User A.,SLA Breach,User C,User D,Group A,Service C,New,Medium,P2,Medium,Low,Model C,2025-02-10 18:12:40,,
CR-2731,Security patch applied: Monitoring for any issues.,Failure,User B,User C,Group C,Service B,In Progress,Low,P1,Medium,High,Model A,2025-02-20 18:12:40,2025-02-20 20:12:40,
CR-2732,Routine check: All systems operational - No issues detected.,Data,User A,User A,Group B,Service C,Closed,Low,P1,High,High,Model C,2024-04-02 18:12:40,2024-04-02 19:12:40,2024-04-02 22:12:40
CR-2733,Service unavailable due to maintenance,Access,User A,"",Group B,Service B,Closed,High,P1,Low,High,Model B,2023-12-14 18:12:40,2023-12-14 19:12:40,2023-12-14 22:12:40
CR-2734,Security alert: Unauthorized access attempt detected.,Access,User D,User C,Group B,Service C,Canceled,High,P2,Medium,High,Model A,2024-03-23 18:12:40,2024-03-23 21:12:40,2024-03-23 22:12:40
CR-2735,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Complaint,User D,User B,Group B,Service A,New,High,P3,Low,Medium,Model C,2024-08-23 18:12:40,,
CR-2736,Service outage detected - No connection to database.,Facilities,User D,User D,Group C,Service A,Closed,High,P1,High,Medium,Model B,2025-02-20 18:12:40,2025-02-20 20:12:40,2025-02-20 23:12:40
CR-2737,Security patch applied: Monitoring for any issues.,Data,User B,User B,Group A,Service A,In Progress,High,P1,Low,High,Model A,2025-04-26 18:12:40,2025-04-26 19:12:40,
CR-2738,Service outage detected - No connection to database.,Facilities,User A,User A,Group A,Service B,On Hold,High,P2,Low,Medium,Model B,2025-06-25 18:12:40,,
CR-2739,User login failed: Account locked due to excessive login attempts.,SLA Breach,User B,"",Group B,Service A,In Progress,Medium,P3,High,Low,Model C,2023-11-25 18:12:40,2023-11-25 19:12:40,
CR-2740,User login failed: Account locked due to excessive login attempts.,Complaint,User B,User D,Group C,Service A,New,Medium,P1,High,Medium,Model B,2024-11-12 18:12:40,,
CR-2741,Failed Workflow - ID: 0000,SLA Breach,User D,User A,Group A,Service B,In Progress,High,P1,Medium,Medium,Model A,2025-11-11 18:12:40,2025-11-11 19:12:40,
CR-2742,Service outage detected - No connection to database.,Network,User A,User C,Group A,Service A,Canceled,High,P1,Low,High,Model A,2025-08-09 18:12:40,2025-08-09 21:12:40,2025-08-09 22:12:40
CR-2743,Service unavailable due to maintenance,Complaint,User D,User A,Group B,Service B,In Progress,Medium,P2,Low,Low,Model B,2025-07-05 18:12:40,2025-07-05 19:12:40,
CR-2744,Service outage detected - No connection to database.,Software,User C,"",Group B,Service C,Canceled,Low,P3,High,Low,Model C,2023-12-25 18:12:40,2023-12-25 19:12:40,2023-12-25 23:12:40
CR-2745,Failed Workflow - ID: 0000,Complaint,User D,User D,Group B,Service C,Resolved,Low,P1,Medium,Low,Model A,2023-11-23 18:12:40,2023-11-23 20:12:40,2023-11-23 22:12:40
CR-2746,Critical alert: Database server overload detected.,SLA Breach,User D,User D,Group C,Service C,New,Medium,P3,High,Medium,Model A,2025-02-27 18:12:40,,
CR-2747,Service unavailable due to maintenance,Complaint,User D,"",Group B,Service B,On Hold,High,P2,High,Medium,Model B,2025-02-24 18:12:40,,
CR-2748,Failed Workflow - ID: 0000,Network,User D,User B,Group A,Service A,Resolved,Low,P1,Medium,High,Model C,2024-05-31 18:12:40,2024-05-31 21:12:40,2024-05-31 22:12:40
CR-2749,Failed Healthcheck - ID: 04657562-f44675-42349c-a2350-f22351a25a Host: ,Hardware,User C,User D,Group A,Service C,Resolved,Low,P2,Medium,Low,Model A,2024-08-24 18:12:40,2024-08-24 21:12:40,2024-08-25 01:12:40
CR-2750,Service outage detected - No connection to database.,Complaint,User A,User D,Group B,Service C,Closed,Low,P1,Medium,Medium,Model A,2025-08-18 18:12:40,2025-08-18 20:12:40,2025-08-18 22:12:40
CR-2751,Network issue: Unable to connect to external API.,Data,User B,"",Group C,Service A,Canceled,High,P2,Medium,Medium,Model B,2023-12-16 18:12:40,2023-12-16 19:12:40,2023-12-16 23:12:40
CR-2752,Critical alert: Database server overload detected.,Network,User C,User B,Group B,Service B,New,Low,P1,Low,High,Model C,2025-05-22 18:12:40,,
CR-2753,Critical alert: Database server overload detected.,Failure,User D,User C,Group C,Service A,Resolved,Low,P3,High,Medium,Model C,2025-04-18 18:12:40,2025-04-18 20:12:40,2025-04-18 22:12:40
CR-2754,Performance report: Sluggish response times on application.,Hardware,User D,User A,Group C,Service A,Closed,Medium,P2,Medium,High,Model A,2025-06-02 18:12:40,2025-06-02 20:12:40,2025-06-03 00:12:40
CR-2755,Performance report: Sluggish response times on application.,Network,User D,"",Group C,Service A,Closed,Low,P1,Medium,High,Model C,2024-05-03 18:12:40,2024-05-03 19:12:40,2024-05-03 23:12:40
CR-2756,Failed Workflow - ID: 0000,Failure,User D,User D,Group C,Service A,On Hold,High,P1,Low,Low,Model A,2024-07-05 18:12:40,,
CR-2757,User login failed: Account locked due to excessive login attempts.,Hardware,User B,User C,Group C,Service B,On Hold,Low,P3,Low,Low,Model B,2025-02-13 18:12:40,,
CR-2758,User login failed: Account locked due to excessive login attempts.,Complaint,User B,User A,Group C,Service C,Resolved,High,P2,High,Low,Model C,2024-09-18 18:12:40,2024-09-18 20:12:40,2024-09-18 23:12:40
CR-2759,Security patch applied: Monitoring for any issues.,Facilities,User D,"",Group C,Service A,Closed,High,P2,Low,Low,Model A,2024-10-12 18:12:40,2024-10-12 21:12:40,2024-10-12 22:12:40
CR-2760,Security alert: Unauthorized access attempt detected.,Software,User A,User A,Group C,Service A,On Hold,Low,P2,Medium,Low,Model B,2024-05-28 18:12:40,,
CR-2761,Data breach notification sent to affected users.,Access,User C,User A,Group B,Service C,New,Medium,P3,High,Medium,Model C,2024-09-22 18:12:40,,
CR-2762,Critical alert: Database server overload detected.,Facilities,User B,User B,Group B,Service B,On Hold,Medium,P3,Low,Low,Model B,2025-07-13 18:12:40,,
CR-2763,Security patch applied: Monitoring for any issues.,Facilities,User A,User B,Group B,Service B,Closed,High,P2,Low,High,Model C,2025-01-17 18:12:40,2025-01-17 19:12:40,2025-01-17 23:12:40
CR-2764,Routine check: All systems operational - No issues detected.,SLA Breach,User C,User D,Group C,Service B,On Hold,Low,P2,High,Medium,Model A,2025-05-02 18:12:40,,
CR-2765,Service outage detected - No connection to database.,Facilities,User D,User C,Group B,Service B,New,Low,P2,High,Medium,Model A,2024-12-01 18:12:40,,
CR-2766,Security alert: Unauthorized access attempt detected.,Software,User D,User A,Group C,Service A,On Hold,Medium,P1,High,Medium,Model B,2025-09-13 18:12:40,,
CR-2767,Performance report: Sluggish response times on application.,Hardware,User C,User B,Group B,Service B,On Hold,Medium,P2,High,Low,Model A,2024-08-07 18:12:40,,
CR-2768,User login failed: Account locked due to excessive login attempts.,SLA Breach,User D,User B,Group B,Service B,Closed,Medium,P3,Low,Medium,Model A,2024-11-04 18:12:40,2024-11-04 19:12:40,2024-11-04 22:12:40
CR-2769,Performance report: Sluggish response times on application.,Access,User B,User B,Group C,Service B,Canceled,High,P1,High,High,Model C,2024-01-08 18:12:40,2024-01-08 19:12:40,2024-01-08 22:12:40
CR-2770,Data breach notification sent to affected users.,Hardware,User C,User D,Group B,Service B,New,Low,P1,Low,Medium,Model A,2025-03-29 18:12:40,,
CR-2771,Security patch applied: Monitoring for any issues.,Hardware,User A,User D,Group B,Service B,In Progress,Low,P2,Low,Medium,Model A,2024-06-06 18:12:40,2024-06-06 19:12:40,
CR-2772,Service outage detected - No connection to database.,Access,User A,User A,Group A,Service A,On Hold,Medium,P3,Low,High,Model B,2024-10-03 18:12:40,,
CR-2773,Suspicious activity detected on account: User A.,Hardware,User A,User D,Group C,Service A,On Hold,Medium,P1,Low,Medium,Model C,2024-07-02 18:12:40,,
CR-2774,Failed Workflow - ID: 0000,Access,User A,User A,Group C,Service C,New,Low,P2,High,Medium,Model A,2024-11-19 18:12:40,,
CR-2775,Service outage detected - No connection to database.,Complaint,User C,User D,Group B,Service B,Resolved,High,P2,High,Low,Model B,2025-04-29 18:12:40,2025-04-29 19:12:40,2025-04-29 20:12:40
CR-2776,Security patch applied: Monitoring for any issues.,Access,User D,"",Group C,Service C,On Hold,Low,P3,High,Low,Model C,2024-07-23 18:12:40,,
CR-2777,Network issue: Unable to connect to external API.,Hardware,User A,User D,Group A,Service A,Resolved,High,P3,Low,Low,Model A,2024-12-27 18:12:40,2024-12-27 20:12:40,2024-12-27 22:12:40
CR-2778,Service outage detected - No connection to database.,Complaint,User C,User B,Group B,Service B,Closed,Low,P2,High,High,Model B,2025-03-28 18:12:40,2025-03-28 19:12:40,2025-03-28 23:12:40
CR-2779,Performance report: Sluggish response times on application.,Access,User A,User C,Group B,Service A,Resolved,High,P1,Medium,Medium,Model A,2025-02-13 18:12:40,2025-02-13 21:12:40,2025-02-13 22:12:40
CR-2780,Suspicious activity detected on account: User A.,Network,User C,User A,Group C,Service B,On Hold,Medium,P1,Medium,High,Model C,2024-10-09 18:12:40,,
CR-2781,Security alert: Unauthorized access attempt detected.,Failure,User C,User B,Group B,Service C,Resolved,High,P2,Low,High,Model C,2025-07-01 18:12:40,2025-07-01 21:12:40,2025-07-02 01:12:40
CR-2782,Security alert: Unauthorized access attempt detected.,Hardware,User C,User D,Group B,Service B,Canceled,Low,P3,High,Low,Model A,2025-09-09 18:12:40,2025-09-09 19:12:40,2025-09-09 21:12:40
CR-2783,Service unavailable due to maintenance,Network,User B,"",Group C,Service A,Resolved,Low,P2,Medium,Low,Model C,2024-11-13 18:12:40,2024-11-13 19:12:40,2024-11-13 23:12:40
CR-2784,Routine check: All systems operational - No issues detected.,Failure,User C,User C,Group C,Service B,Closed,Low,P3,Low,High,Model C,2024-10-04 18:12:40,2024-10-04 19:12:40,2024-10-04 22:12:40
CR-2785,Performance report: Sluggish response times on application.,SLA Breach,User B,User C,Group B,Service C,New,Medium,P2,Low,Medium,Model B,2024-11-09 18:12:40,,
CR-2786,Security patch applied: Monitoring for any issues.,Failure,User C,"",Group C,Service C,On Hold,Medium,P1,Medium,Medium,Model C,2024-04-06 18:12:40,,
CR-2787,Performance report: Sluggish response times on application.,Failure,User B,User A,Group C,Service B,Closed,Low,P1,Medium,Medium,Model B,2024-10-08 18:12:40,2024-10-08 20:12:40,2024-10-08 23:12:40
CR-2788,Security patch applied: Monitoring for any issues.,Access,User D,User D,Group A,Service B,Closed,Low,P3,Medium,High,Model B,2023-11-30 18:12:40,2023-11-30 20:12:40,2023-11-30 23:12:40
CR-2789,Service unavailable due to maintenance,Facilities,User B,User C,Group A,Service A,On Hold,Medium,P1,Low,Low,Model B,2023-12-16 18:12:40,,
CR-2790,Routine check: All systems operational - No issues detected.,SLA Breach,User C,User A,Group A,Service C,On Hold,Medium,P2,Low,High,Model B,2025-09-07 18:12:40,,
CR-2791,Critical alert: Database server overload detected.,Software,User A,User B,Group B,Service B,Canceled,Medium,P1,Low,Low,Model C,2024-05-17 18:12:40,2024-05-17 21:12:40,2024-05-18 01:12:40
CR-2792,User login failed: Account locked due to excessive login attempts.,SLA Breach,User C,User C,Group C,Service A,Resolved,Medium,P1,Low,High,Model C,2025-10-30 18:12:40,2025-10-30 20:12:40,2025-10-30 23:12:40
CR-2793,Failed Workflow - ID: 0000,Software,User D,User C,Group A,Service C,On Hold,Low,P3,Low,High,Model A,2024-03-03 18:12:40,,
CR-2794,Service unavailable due to maintenance,SLA Breach,User D,User A,Group C,Service A,On Hold,Medium,P3,Medium,High,Model C,2024-09-02 18:12:40,,
CR-2795,Critical alert: Database server overload detected.,Data,User B,User D,Group A,Service A,Resolved,Low,P2,High,Low,Model C,2025-02-03 18:12:40,2025-02-03 19:12:40,2025-02-03 20:12:40
CR-2796,Data breach notification sent to affected users.,Facilities,User D,User C,Group B,Service B,On Hold,High,P2,High,High,Model A,2025-06-26 18:12:40,,
CR-2797,Service outage detected - No connection to database.,Access,User D,User D,Group A,Service B,Resolved,Low,P1,Low,Low,Model B,2024-06-15 18:12:40,2024-06-15 21:12:40,2024-06-15 22:12:40
CR-2798,User login failed: Account locked due to excessive login attempts.,Network,User B,User C,Group A,Service A,Closed,Medium,P1,High,High,Model B,2024-08-19 18:12:40,2024-08-19 21:12:40,2024-08-20 00:12:40
CR-2799,Suspicious activity detected on account: User A.,Access,User A,"",Group A,Service C,New,High,P2,High,Medium,Model B,2024-05-06 18:12:40,,
